Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
04011232;Arsten (Ortsteil);2022-12-31;unter 6;382;182;57;28;262;118;63;36;249;128
04011232;Arsten (Ortsteil);2022-12-31;6 - 15;578;273;93;39;391;191;94;43;398;190
04011232;Arsten (Ortsteil);2022-12-31;15 - 18;168;88;32;23;109;51;27;14;138;68
04011232;Arsten (Ortsteil);2022-12-31;18 - 25;198;83;75;33;109;47;14;3;465;228
04011232;Arsten (Ortsteil);2022-12-31;25 - 30;176;97;81;46;72;41;23;10;271;124
04011232;Arsten (Ortsteil);2022-12-31;30 - 50;1033;573;402;220;442;239;189;114;1352;698
04011232;Arsten (Ortsteil);2022-12-31;50 - 65;670;354;202;110;300;155;168;89;1623;834
04011232;Arsten (Ortsteil);2022-12-31;65 oder mehr;395;221;105;58;156;87;134;76;1860;1070
04011232;Arsten (Ortsteil);2022-12-31;Insgesamt;3600;1871;1047;557;1841;929;712;385;6356;3340
04011233;Kattenturm (Ortsteil);2022-12-31;unter 6;734;332;293;133;406;186;35;13;170;74
04011233;Kattenturm (Ortsteil);2022-12-31;6 - 15;1060;522;421;210;582;286;57;26;260;137
04011233;Kattenturm (Ortsteil);2022-12-31;15 - 18;304;148;87;40;198;104;19;4;89;48
04011233;Kattenturm (Ortsteil);2022-12-31;18 - 25;568;262;312;130;236;121;20;11;444;201
04011233;Kattenturm (Ortsteil);2022-12-31;25 - 30;510;229;332;147;152;70;26;12;315;157
04011233;Kattenturm (Ortsteil);2022-12-31;30 - 50;2111;1072;1290;662;637;320;184;90;1083;515
04011233;Kattenturm (Ortsteil);2022-12-31;50 - 65;1238;626;637;324;397;198;204;104;1439;725
04011233;Kattenturm (Ortsteil);2022-12-31;65 oder mehr;782;423;296;161;284;147;202;115;1827;1037
04011233;Kattenturm (Ortsteil);2022-12-31;Insgesamt;7307;3614;3668;1807;2892;1432;747;375;5627;2894
04011234;Kattenesch (Ortsteil);2022-12-31;unter 6;199;93;32;9;148;76;19;8;100;46
04011234;Kattenesch (Ortsteil);2022-12-31;6 - 15;324;153;59;27;218;106;47;20;181;85
04011234;Kattenesch (Ortsteil);2022-12-31;15 - 18;82;43;13;8;57;31;12;4;74;31
04011234;Kattenesch (Ortsteil);2022-12-31;18 - 25;120;72;41;23;71;45;8;4;231;101
04011234;Kattenesch (Ortsteil);2022-12-31;25 - 30;98;42;51;20;42;18;5;4;132;59
