12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
04011243;Kirchhuchting (Ortsteil);2021-12-31;15 - 18;309;166;143;206;102;104;103;64;39
04011243;Kirchhuchting (Ortsteil);2021-12-31;18 - 20;219;122;97;157;80;77;62;42;20
04011243;Kirchhuchting (Ortsteil);2021-12-31;20 - 25;547;284;263;342;180;162;205;104;101
04011243;Kirchhuchting (Ortsteil);2021-12-31;25 - 30;530;307;223;321;180;141;209;127;82
04011243;Kirchhuchting (Ortsteil);2021-12-31;30 - 35;532;255;277;318;151;167;214;104;110
04011243;Kirchhuchting (Ortsteil);2021-12-31;35 - 40;515;252;263;287;134;153;228;118;110
04011243;Kirchhuchting (Ortsteil);2021-12-31;40 - 45;482;224;258;297;138;159;185;86;99
04011243;Kirchhuchting (Ortsteil);2021-12-31;45 - 50;482;237;245;312;153;159;170;84;86
04011243;Kirchhuchting (Ortsteil);2021-12-31;50 - 55;554;267;287;387;191;196;167;76;91
04011243;Kirchhuchting (Ortsteil);2021-12-31;55 - 60;643;315;328;522;260;262;121;55;66
04011243;Kirchhuchting (Ortsteil);2021-12-31;60 - 65;535;276;259;464;236;228;71;40;31
04011243;Kirchhuchting (Ortsteil);2021-12-31;65 - 70;413;188;225;356;163;193;57;25;32
04011243;Kirchhuchting (Ortsteil);2021-12-31;70 - 75;348;159;189;301;141;160;47;18;29
04011243;Kirchhuchting (Ortsteil);2021-12-31;75 - 80;354;154;200;319;140;179;35;14;21
04011243;Kirchhuchting (Ortsteil);2021-12-31;80 - 85;353;136;217;335;128;207;18;8;10
04011243;Kirchhuchting (Ortsteil);2021-12-31;85 - 90;226;81;145;218;77;141;8;4;4
04011243;Kirchhuchting (Ortsteil);2021-12-31;90 und mehr;89;24;65;87;22;65;2;2;0
04011243;Kirchhuchting (Ortsteil);2021-12-31;Insgesamt;8661;4255;4406;6215;2999;3216;2446;1256;1190
04011244;Grolland (Ortsteil);2021-12-31;unter 3;75;40;35;70;38;32;5;2;3
04011244;Grolland (Ortsteil);2021-12-31;3 - 6;81;48;33;79;47;32;2;1;1
04011244;Grolland (Ortsteil);2021-12-31;6 - 10;96;48;48;95;48;47;1;0;1
04011244;Grolland (Ortsteil);2021-12-31;10 - 15;137;64;73;135;63;72;2;1;1
04011244;Grolland (Ortsteil);2021-12-31;15 - 18;80;39;41;80;39;41;0;0;0
04011244;Grolland (Ortsteil);2021-12-31;18 - 20;48;29;19;45;27;18;3;2;1
04011244;Grolland (Ortsteil);2021-12-31;20 - 25;121;61;60;110;53;57;11;8;3
04011244;Grolland (Ortsteil);2021-12-31;25 - 30;113;62;51;92;52;40;21;10;11
04011244;Grolland (Ortsteil);2021-12-31;30 - 35;145;78;67;117;59;58;28;19;9
04011244;Grolland (Ortsteil);2021-12-31;35 - 40;174;79;95;160;71;89;14;8;6
04011244;Grolland (Ortsteil);2021-12-31;40 - 45;152;74;78;142;70;72;10;4;6
04011244;Grolland (Ortsteil);2021-12-31;45 - 50;168;83;85;153;77;76;15;6;9
